Date and Time,Percipitation,Temperature,Wind_speed,Wind_direction
3/25/2021 20:00,0,12.8,1,West-southwest
3/25/2021 21:00,0,13.5,1.4,West
3/25/2021 22:00,0,9.2,0.7,East
3/25/2021 23:00,0,9.7,2.1,East-northeast
44281,0,8.7,0.2,Quiet
3/26/2021 1:00,0,9.3,1,Northwest
3/26/2021 2:00,0,7.7,2.4,East-northeast
3/26/2021 3:00,0,6.5,1,Northeast
3/26/2021 4:00,0,6.4,1,East-northeast
3/26/2021 5:00,0,8.1,1.4,North-northwest
3/26/2021 6:00,0,9.3,2.7,Northeast
3/26/2021 7:00,0,9.3,1,North-northwest
3/26/2021 8:00,0,9.7,4.1,Northeast
3/26/2021 9:00,0,14.5,1.9,North
3/26/2021 10:00,0,16.3,2.9,West-northwest
3/26/2021 11:00,0,18.5,2.5,West
3/26/2021 12:00,0,21.6,1.5,West
3/26/2021 13:00,0,23,1.8,North-northeast
3/26/2021 14:00,0,22.7,3.3,Southwest
3/26/2021 15:00,0,22.9,4,South-southwest
3/26/2021 16:00,0,22.2,3.1,South
3/26/2021 17:00,0,22,3,South
3/26/2021 18:00,0,19.1,2.4,South-southwest
3/26/2021 19:00,0,16.2,0.8,South
3/26/2021 20:00,0,13.9,1.6,North-northeast
3/26/2021 21:00,0,13.3,2.3,East-northeast
3/26/2021 22:00,0,14.2,2.3,Northeast
3/26/2021 23:00,0,11.4,1.9,West-southwest
44282,0,11.2,1.5,Southwest
3/27/2021 1:00,0,9.7,2.6,East-northeast
3/27/2021 2:00,0,10.8,2.4,East-northeast
3/27/2021 3:00,0,8.5,1.5,East-northeast
3/27/2021 4:00,0,10.1,2,East-northeast
3/27/2021 5:00,0,8.6,1.3,East-northeast
3/27/2021 6:00,0,7.8,1.7,East-northeast
3/27/2021 7:00,0,10.2,2.3,East-northeast
3/27/2021 8:00,0,14,2.1,East-northeast
3/27/2021 9:00,0,16.4,1,North
3/27/2021 10:00,0,18,1.2,North-northwest
3/27/2021 11:00,0,20.9,2,West-southwest
3/27/2021 12:00,0,22.5,2.4,Southwest
3/27/2021 13:00,0,23.8,2.2,West
3/27/2021 14:00,0,23.8,3.6,West-southwest
3/27/2021 15:00,0,23.2,3.4,West-southwest
3/27/2021 16:00,0,24,2.7,West-southwest
3/27/2021 17:00,0,22.1,2.5,West
3/27/2021 18:00,0,19.9,2.7,North-northeast
3/27/2021 19:00,0,19.2,4.4,Southeast
3/27/2021 20:00,0,18.6,3.8,Southeast
3/27/2021 21:00,0,17.7,5,East-southeast
3/27/2021 22:00,0,17.9,3,South-southeast
3/27/2021 23:00,0,17.5,1.3,Southeast
44283,0,17.4,2.8,South-southeast
3/28/2021 1:00,2,14.2,1.6,East-southeast
3/28/2021 2:00,0,15.4,1.3,South-southeast
3/28/2021 3:00,0,14.6,0.8,South-southeast
3/28/2021 4:00,0,15.3,1.2,South
3/28/2021 5:00,0,16.9,1.4,South-southeast
3/28/2021 6:00,0.5,17.5,1.4,Southeast
3/28/2021 7:00,1,16.5,1,Southeast
3/28/2021 8:00,9.5,15.2,1.1,North-northwest
3/28/2021 9:00,8,14.9,0.6,North
3/28/2021 10:00,6.5,15.2,1.9,Southeast
3/28/2021 11:00,2.5,16.3,1.3,South-southeast
3/28/2021 12:00,1,15.9,2.2,West-southwest
3/28/2021 13:00,1.5,15.9,2.8,Southwest
3/28/2021 14:00,0,16.1,3.6,South-southwest
3/28/2021 15:00,0,14.6,3.7,West-northwest
3/28/2021 16:00,0,15,2.1,Northwest
3/28/2021 17:00,0,16,3.2,Southwest
3/28/2021 18:00,0,15,1.7,South-southwest
3/28/2021 19:00,0,12.5,0.8,South-southwest
3/28/2021 20:00,0,11.4,1.2,South
3/28/2021 21:00,0,11.3,1.5,South-southwest
3/28/2021 22:00,0,10.7,1.5,South
3/28/2021 23:00,0,10.2,0.8,Southeast
44284,0,9,0.7,South-southeast
3/29/2021 1:00,0,9.4,0.7,East
3/29/2021 2:00,0,8.4,1.5,East-northeast
3/29/2021 3:00,0,8.1,1.2,East-northeast
3/29/2021 4:00,0,9.3,1.2,East-southeast
3/29/2021 5:00,0,9.4,0.5,Southeast
3/29/2021 6:00,0,8.4,1,East-southeast
3/29/2021 7:00,0,10.1,1.3,East
3/29/2021 8:00,0,13,0.5,South-southeast
3/29/2021 9:00,0,14.8,1.1,South
3/29/2021 10:00,0,16.4,3.5,South-southwest
3/29/2021 11:00,0,18.1,3.6,Southwest
3/29/2021 12:00,0,17.9,2.3,South-southwest
3/29/2021 13:00,0,18.8,2.1,South
3/29/2021 14:00,0,20.5,2.5,West-southwest
3/29/2021 15:00,0,21,2.7,Southwest
3/29/2021 16:00,0,21.1,2.4,South-southwest
3/29/2021 17:00,0,20.6,3.4,Southwest
3/29/2021 18:00,0,18.7,2.1,Southwest
3/29/2021 19:00,0,16.9,2.8,South-southwest
3/29/2021 20:00,0,15.5,2.2,South-southwest
3/29/2021 21:00,0,13.7,0.2,Quiet
3/29/2021 22:00,0,11.7,0.7,East
3/29/2021 23:00,0,11.8,0.7,South-southeast
44285,0,11.8,0.9,Southeast
3/30/2021 1:00,0,11.8,0.7,Southeast
3/30/2021 2:00,0,10.7,1.5,East-southeast
3/30/2021 3:00,0,11.8,0.4,South-southwest
3/30/2021 4:00,0,12.8,0.8,East-southeast
3/30/2021 5:00,0,13,0.7,East-southeast
3/30/2021 6:00,0,12.6,1.9,East-southeast
3/30/2021 7:00,0,12.4,0.9,East
3/30/2021 8:00,0,14.8,1.4,West-southwest
3/30/2021 9:00,0,15,2.6,North
3/30/2021 10:00,0,15.6,1.2,Northwest
3/30/2021 11:00,0,16.1,1.2,North-northwest
3/30/2021 12:00,0,17.9,0.7,West
3/30/2021 13:00,0,19.1,1.5,Southwest
3/30/2021 14:00,0,20,2.3,West
3/30/2021 15:00,0,20.4,2.5,South
3/30/2021 16:00,0,20.3,2.6,South
3/30/2021 17:00,0,19.8,1.9,South-southwest
3/30/2021 18:00,0,18.2,1.5,West-southwest
3/30/2021 19:00,0,14.4,1.2,Southwest
3/30/2021 20:00,0,13.8,1.2,East-southeast
3/30/2021 21:00,0,12.1,1.8,East-northeast
3/30/2021 22:00,0,9.9,0.6,North
3/30/2021 23:00,0,10.3,1.3,West
44286,0,10.6,1.1,North-northwest
3/31/2021 1:00,0,11.4,2.2,East-northeast
3/31/2021 2:00,0,9.8,2.8,East-northeast
3/31/2021 3:00,0,10.2,0.9,Southeast
3/31/2021 4:00,0,8.9,1.3,East-northeast
3/31/2021 5:00,0,8.7,0.5,East-southeast
3/31/2021 6:00,0,8.2,1.3,East-northeast
3/31/2021 7:00,0,9.2,1.3,Northeast
3/31/2021 8:00,0,12.5,1.9,North
3/31/2021 9:00,0,13.8,0.3,South-southwest
3/31/2021 10:00,0,16.7,1.8,West-northwest
3/31/2021 11:00,0,17.2,1.7,North
3/31/2021 12:00,0,20.5,1.4,South-southeast
3/31/2021 13:00,0,21.4,1.7,West
3/31/2021 14:00,0,22.7,2.7,West-southwest
3/31/2021 15:00,0,22.7,2.3,South-southwest
3/31/2021 16:00,0,22.3,2.6,South-southwest
3/31/2021 17:00,0,19.9,2.7,South-southwest
3/31/2021 18:00,0,18.4,1.1,South
3/31/2021 19:00,0,16.1,1,East
3/31/2021 20:00,0,14,0.8,West-southwest
3/31/2021 21:00,0,14.9,0.4,South-southeast
3/31/2021 22:00,0,14.9,1.6,South
3/31/2021 23:00,0,13.8,0.8,South
44287,0,13.4,1.3,South
4/1/2021 1:00,0,13.1,1.3,Southwest
4/1/2021 2:00,0,11.6,0.9,West-southwest
4/1/2021 3:00,0,10.6,0.3,East
4/1/2021 4:00,0,9.5,1.1,Southwest
4/1/2021 5:00,0,11.1,0.7,South
4/1/2021 6:00,0,9.9,2.2,South-southwest
4/1/2021 7:00,0,11.4,0.5,Northeast
4/1/2021 8:00,0,14.6,2.2,Southwest
4/1/2021 9:00,0,18.5,0.8,Northwest
4/1/2021 10:00,0,20.4,2.7,South-southwest
4/1/2021 11:00,0,23.3,2.4,Southwest
4/1/2021 12:00,0,25.2,2.6,East-southeast
4/1/2021 13:00,0,24.2,8.3,Northeast
4/1/2021 14:00,0,24.9,6.4,East-northeast
4/1/2021 15:00,0,23.7,5,South-southwest
4/1/2021 16:00,0,23,3.2,Southwest
4/1/2021 17:00,0,22,4.8,East
4/1/2021 18:00,0,19.9,4.6,East
4/1/2021 19:00,0,18.2,5.4,East-northeast
4/1/2021 20:00,0,17.9,5.1,East-southeast
4/1/2021 21:00,0,17.5,6.1,East-northeast
4/1/2021 22:00,0,17.3,6.1,Northeast
4/1/2021 23:00,0,17.3,5.5,East-northeast
44288,0,17.2,4.8,East-northeast
4/2/2021 1:00,0,17.2,5.2,East-northeast
4/2/2021 2:00,0,16.5,4.2,East-northeast
4/2/2021 3:00,0,16.8,4.7,East-northeast
4/2/2021 4:00,0,17.5,4.5,East-northeast
4/2/2021 5:00,0,17.6,3.7,East-northeast
4/2/2021 6:00,0,18.6,3.7,East-northeast
4/2/2021 7:00,0,18.9,4.8,East
4/2/2021 8:00,0,19.5,3.7,East
4/2/2021 9:00,0,20.1,2.8,East-northeast
4/2/2021 10:00,0,21.1,9.2,East
4/2/2021 11:00,0,22.4,9.7,East-northeast
4/2/2021 12:00,0,23.4,8.3,East
4/2/2021 13:00,0,21.6,9.4,East
4/2/2021 14:00,0,21.5,7.8,East-northeast
4/2/2021 15:00,0,20.7,5.8,East
4/2/2021 16:00,0,20.3,5,East-northeast
4/2/2021 17:00,0,19.4,5.3,North-northeast
4/2/2021 18:00,0,18.9,4.7,East-northeast
4/2/2021 19:00,0,18.1,4.8,North-northeast
4/2/2021 20:00,0,18.2,6.6,East-northeast
4/2/2021 21:00,0,18,5,East-northeast
4/2/2021 22:00,0,18.1,2.9,North
4/2/2021 23:00,0,17.6,4.5,North
44289,0,17.8,6.2,Northeast
4/3/2021 1:00,0,17.5,6.9,East-northeast
4/3/2021 2:00,0,17.7,6,Northeast
4/3/2021 3:00,0,17.6,3,North-northeast
4/3/2021 4:00,0,18.4,5.4,East-northeast
4/3/2021 5:00,0,17.9,7.3,North-northeast
4/3/2021 6:00,0,18.3,3.9,North
4/3/2021 7:00,0,18.1,5.9,North
4/3/2021 8:00,0,19.8,3.7,North
4/3/2021 9:00,0,20.6,3.4,East
4/3/2021 10:00,0,22,4.7,Northeast
4/3/2021 11:00,0,22.1,3.5,North-northeast
4/3/2021 12:00,0,23.6,7.9,East
4/3/2021 13:00,0,24.2,8.5,East-southeast
4/3/2021 14:00,0,25.7,9,East-southeast
4/3/2021 15:00,0,25.2,7.3,East-southeast
4/3/2021 16:00,0,22.7,7.3,East
4/3/2021 17:00,0,21.9,6.5,East-southeast
4/3/2021 18:00,0,20.4,6.6,East
4/3/2021 19:00,0,20.2,7.4,East
4/3/2021 20:00,0,19,6,East-northeast
4/3/2021 21:00,0,19,5.1,East
4/3/2021 22:00,0,20.3,5.2,East-southeast
4/3/2021 23:00,0,20.5,3.2,East-southeast
44290,0,20.4,1.6,West
4/4/2021 1:00,0,17.9,2.4,Northwest
4/4/2021 2:00,0,15.1,1.5,Northwest
4/4/2021 3:00,0,17.6,2.1,West
4/4/2021 4:00,0,17.5,1.1,North
4/4/2021 5:00,0,17.1,1.9,East
4/4/2021 6:00,0,17.1,1,East-northeast
4/4/2021 7:00,0,17.3,0.9,Southeast
4/4/2021 8:00,2.5,16.5,1,Northeast
4/4/2021 9:00,4,16.5,1.5,South-southeast
4/4/2021 10:00,3,16.9,1.5,Southeast
4/4/2021 11:00,2,16.6,4.7,West-southwest
4/4/2021 12:00,1.5,16.4,2.6,West
4/4/2021 13:00,3,16.2,1,West-northwest
4/4/2021 14:00,2,16.1,2.5,West
4/4/2021 15:00,0,15.4,2.6,Northwest
4/4/2021 16:00,0.5,15.2,2.1,Northwest
4/4/2021 17:00,0.5,14.9,2.4,Northwest
4/4/2021 18:00,0.5,14.2,2.9,Northwest
4/4/2021 19:00,0,13.3,1.8,West-northwest
4/4/2021 20:00,0,12.9,2,Northwest
4/4/2021 21:00,0,12.6,2.2,Northwest
4/4/2021 22:00,0,12.8,0.6,North-northwest
4/4/2021 23:00,0,13,0.8,North-northeast
44291,0,11.9,1.4,North-northwest
4/5/2021 1:00,0,11.4,2.3,North
4/5/2021 2:00,0,11.6,2.4,North
4/5/2021 3:00,0,11.4,3.9,Northeast
4/5/2021 4:00,0,11.1,3.4,Northeast
4/5/2021 5:00,0,11,3.8,Northeast
4/5/2021 6:00,0,9.7,3.9,North-northeast
4/5/2021 7:00,0,10.4,3.1,North-northeast
4/5/2021 8:00,0,10.7,4.8,Northeast
4/5/2021 9:00,0,11.9,5.7,North-northeast
4/5/2021 10:00,0,12.3,5.2,North-northeast
4/5/2021 11:00,0,12.2,6.3,North-northeast
4/5/2021 12:00,0,14.3,4.8,North-northeast
4/5/2021 13:00,0,15.2,6.3,North
4/5/2021 14:00,0,16.3,3.5,North-northeast
4/5/2021 15:00,0,16.6,5.6,North
4/5/2021 16:00,0,17,4,North-northeast
4/5/2021 17:00,0,17.2,3.6,North-northeast
4/5/2021 18:00,0,14.9,6.4,Northeast
4/5/2021 19:00,0,12,4.9,North-northeast
4/5/2021 20:00,0,10.7,4,North-northeast
4/5/2021 21:00,0,9.8,5.1,North
4/5/2021 22:00,0,9.7,4.7,North
4/5/2021 23:00,0,10.2,4.8,North
44292,0,6.8,1.1,South
4/6/2021 1:00,0,8.8,1.6,Southeast
4/6/2021 2:00,0,8.5,0.5,Southeast
4/6/2021 3:00,0,8.4,0.7,Northwest
4/6/2021 4:00,0,6.7,1.5,North-northeast
4/6/2021 5:00,0,5.9,1.1,East
4/6/2021 6:00,0,5.4,0.2,Quiet
4/6/2021 7:00,0,7.3,0.3,East-northeast
4/6/2021 8:00,0,10,1,South
4/6/2021 9:00,0,11.7,0.5,West-northwest
4/6/2021 10:00,0,13.4,2.7,West
4/6/2021 11:00,0,15.2,2,West-northwest
4/6/2021 12:00,0,17.2,0.9,North-northwest
4/6/2021 13:00,0,17.8,2.6,Southwest
4/6/2021 14:00,0,18.5,3.3,South-southwest
4/6/2021 15:00,0,18.8,4.3,South-southwest
4/6/2021 16:00,0,18.3,4.2,South-southwest
4/6/2021 17:00,0,17.9,3.1,South
4/6/2021 18:00,0,16.7,1.6,West-southwest
4/6/2021 19:00,0,13.4,1.4,West
4/6/2021 20:00,0,12,2.4,Northwest
4/6/2021 21:00,0,9.3,1,North-northeast
4/6/2021 22:00,0,7.2,0.4,Southwest
4/6/2021 23:00,0,5.5,0.9,South
44293,0,6.2,0.1,Quiet
4/7/2021 1:00,0,6.5,1.2,Southeast
4/7/2021 2:00,0,5.6,0.4,East-southeast
4/7/2021 3:00,0,4.2,0,Quiet
4/7/2021 4:00,0,5,0.5,East
4/7/2021 5:00,0,5.9,1.4,East-northeast
4/7/2021 6:00,0,3.3,1.5,East-northeast
4/7/2021 7:00,0,7.6,0.5,North
4/7/2021 8:00,0,12.1,0.8,West-southwest
4/7/2021 9:00,0,13.5,2,West-southwest
4/7/2021 10:00,0,15.3,1.3,West-southwest
4/7/2021 11:00,0,16.9,2.1,West-northwest
4/7/2021 12:00,0,19.4,2.4,Southwest
4/7/2021 13:00,0,20.2,1.9,Northwest
4/7/2021 14:00,0,21.3,2.5,Southwest
4/7/2021 15:00,0,21.7,2.5,North-northwest
4/7/2021 16:00,0,21.7,3.2,West-northwest
4/7/2021 17:00,0,20.4,5.3,West-northwest
4/7/2021 18:00,0,18.6,3.9,Northwest
4/7/2021 19:00,0,16.5,2.9,Northwest
4/7/2021 20:00,0,14.3,2.8,North
4/7/2021 21:00,0,12.2,2.6,North-northwest
4/7/2021 22:00,0,12.5,1.8,North-northeast
4/7/2021 23:00,0,12.5,3.7,Northeast
44294,0,11.7,1.4,Southeast
4/8/2021 1:00,0,10.4,1.1,South-southeast
4/8/2021 2:00,0,10.1,2,East-northeast
4/8/2021 3:00,0,9.2,0.7,North-northeast
4/8/2021 4:00,0,9.9,0.1,Quiet
4/8/2021 5:00,0,10.6,0.9,North-northeast
4/8/2021 6:00,0,9.6,1.1,East-southeast
4/8/2021 7:00,0,11.6,0.8,West-northwest
4/8/2021 8:00,0,13.5,0.3,West
4/8/2021 9:00,0,14.5,1.4,West
4/8/2021 10:00,0,16.2,2,West
4/8/2021 11:00,0,17.4,1.5,Southwest
4/8/2021 12:00,0,17.9,2,West-southwest
4/8/2021 13:00,0,19.7,3.8,South-southwest
4/8/2021 14:00,0,19.1,4.9,Southwest
4/8/2021 15:00,0,19.1,4.8,West-southwest
4/8/2021 16:00,0,20,4.1,Southwest
4/8/2021 17:00,0,19,4.4,West-southwest
4/8/2021 18:00,0,17,3.7,West-southwest
4/8/2021 19:00,0,15.4,2.1,South
4/8/2021 20:00,0,14.2,2.2,South-southwest
4/8/2021 21:00,0,9.7,1.9,East
4/8/2021 22:00,0,9.9,1.4,East-southeast
4/8/2021 23:00,0,10.4,0.9,South-southeast
44295,0,9.9,2.6,East-northeast
4/9/2021 1:00,0,11,1.7,East-northeast
4/9/2021 2:00,0,9.4,1.5,North-northeast
4/9/2021 3:00,0,8.1,0.4,Northwest
4/9/2021 4:00,0,7.5,1.4,Northeast
4/9/2021 5:00,0,6.8,2.6,East-northeast
4/9/2021 6:00,0,7.6,2.8,East-northeast
4/9/2021 7:00,0,9.9,3.3,East-northeast
4/9/2021 8:00,0,12.6,1.5,North
4/9/2021 9:00,0,15.2,3.7,Northeast
4/9/2021 10:00,0,17.5,5.9,Northeast
4/9/2021 11:00,0,18.4,3.2,East-northeast
4/9/2021 12:00,0,20.7,1.7,West
4/9/2021 13:00,0,20.5,3.5,West-northwest
4/9/2021 14:00,0,20.3,2,North-northwest
4/9/2021 15:00,0,20.8,4.3,Southwest
4/9/2021 16:00,0,20.5,3.6,South-southwest
4/9/2021 17:00,0,19.9,5.1,Northwest
4/9/2021 18:00,0,17.5,6.5,North-northeast
4/9/2021 19:00,0,15.5,4.6,North-northeast
4/9/2021 20:00,0,14.4,4.2,Northeast
4/9/2021 21:00,0,13.9,4.8,Northeast
4/9/2021 22:00,0,12.9,4.5,North-northeast
4/9/2021 23:00,0,12.5,7.1,East-northeast
44296,0,12.2,8.5,East-northeast
4/10/2021 1:00,0,11,7,East-northeast
4/10/2021 2:00,0,10.3,6.9,East-northeast
4/10/2021 3:00,0,9.8,5.2,Northeast
4/10/2021 4:00,0,9.3,6.4,Northeast
4/10/2021 5:00,0,8.8,6.3,Northeast
4/10/2021 6:00,0,8.5,5.9,Northeast
4/10/2021 7:00,0,9.3,4.3,East-northeast
4/10/2021 8:00,0,10.8,3.8,Northeast
4/10/2021 9:00,0,13.8,3.1,Northeast
4/10/2021 10:00,0,15.7,4.7,Northeast
4/10/2021 11:00,0,17.4,2.6,North-northeast
4/10/2021 12:00,0,18.1,2.4,North-northwest
4/10/2021 13:00,0,19.6,2.1,Northwest
4/10/2021 14:00,0,20.1,2.2,Southwest
4/10/2021 15:00,0,20.7,3.4,South-southwest
4/10/2021 16:00,0,19.8,2.2,South-southeast
4/10/2021 17:00,0,19.1,3.4,South
4/10/2021 18:00,0,17.7,2.9,East-southeast
4/10/2021 19:00,0,14,6.2,East-northeast
4/10/2021 20:00,0,12.4,4.3,East
4/10/2021 21:00,0,12.4,5.5,East-northeast
4/10/2021 22:00,0,11.6,4.2,East-northeast
4/10/2021 23:00,0,6.9,2.3,North
44297,0,8.9,1.3,North
4/11/2021 1:00,0,7.6,2.8,East-northeast
4/11/2021 2:00,0,5.9,1.5,East-northeast
4/11/2021 3:00,0,7.8,1.5,South-southeast
4/11/2021 4:00,0,6.7,1,North
4/11/2021 5:00,0,7,1.6,East-southeast
4/11/2021 6:00,0,4.9,1.6,East-northeast
4/11/2021 7:00,0,10,0.6,West-southwest
4/11/2021 8:00,0,12.6,1.3,West-southwest
4/11/2021 9:00,0,15.5,0.7,South-southeast
4/11/2021 10:00,0,18.6,1.3,East-northeast
4/11/2021 11:00,0,19.4,3.6,North-northeast
4/11/2021 12:00,0,21.3,3,North-northeast
4/11/2021 13:00,0,21.9,5,South-southwest
4/11/2021 14:00,0,21.3,2.7,Southwest
4/11/2021 15:00,0,21.9,2,South-southwest
4/11/2021 16:00,0,21.2,2.2,South-southwest
4/11/2021 17:00,0,21.5,1.6,Northwest
4/11/2021 18:00,0,19.4,1.7,West-northwest
4/11/2021 19:00,0,16.1,1.3,South-southwest
4/11/2021 20:00,0,13.8,4.6,East
4/11/2021 21:00,0,12.7,3.8,East
4/11/2021 22:00,0,13.7,3.3,East-northeast
4/11/2021 23:00,0,14.1,3.5,East-northeast
44298,0,13,3.4,East-northeast
4/12/2021 1:00,0,12.7,2.8,East-northeast
4/12/2021 2:00,0,14.1,3.1,East
